"","genesysId","instCode","acceNumb","genus","anthesis1","anthrac","awns","basaltillr","branchangl","endosprmco","endosprmtx","endosprmty","exsertion","glumecolor","glumepubsc","heightunif","jdmidrib","kercolor","kercover","kerplump","kershape","mesocarp","midribcol","nodaltillr","paniclecom","paniclelgt","paniclerec","panicleshp","pericarpco","plantcol","planthgt","rust","seedtype"
"17",8345,"USA016","PI 586040","Sorghum",73,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",12,"Tan","Intermediate"," (2.0) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Round","Thick","Colorless","Yes","Semi-compact",15,"Erect","Oval","White","Purple",233," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"18",8347,"USA016","PI 586056","Sorghum",55,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",9,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","25% kernel covered","Plump","Round","Thick","Colorless","Yes","Semi-compact",24,"Erect","Elliptical","Red","Purple",127,"Susceptible","Single"
"19",8348,"USA016","PI 586087","Sorghum",55,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",12,"Purple","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","50% kernel covered","Plump","Oval","Thick","Colorless","Yes","Semi-compact",24,"Erect","Elliptical","White","Purple-red",110," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"20",8349,"USA016","PI 586101","Sorghum",55,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",0,"Straw","Yes"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","50% kernel covered","Plump","Round","Thick","Colorless","No","Semi-compact",35,"Erect","Oval","White","Purple-red",85,"Susceptible","Single"
"21",8350,"USA016","PI 586126","Sorghum",51,"Resistant","None",1,"Drooping","White","Partly corneous","Non-waxy",33,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",32,"Erect","Lax","White","Purple-red",190," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"22",8351,"USA016","PI 586163","Sorghum",55,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",17,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",23,"Erect","Lax","White","Purple-red",200," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"23",8352,"USA016","PI 586187","Sorghum",55,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",20,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",33,"Erect","Lax","White","Red",220," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"24",8353,"USA016","PI 586216","Sorghum",43,"Resistant","Long",1,"Drooping","White","Partly corneous","Non-waxy",29,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",35,"Erect","Lax","White","Purple",166," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"25",8354,"USA016","PI 586354","Sorghum",49,"Resistant","None",1,"Erect","White","Almost starchy","Non-waxy",27,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Oval","Thick","Colorless","Yes","Semi-loose",29,"Erect","Elliptical","Red","Purple-red",228," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"26",8355,"USA016","PI 586400","Sorghum",49,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",8,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Round","Thick","Colorless","Yes","Semi-compact",22,"Erect","Oval","Red","Red",192," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"27",8356,"USA016","PI 586433","Sorghum",50,"Resistant","None",1,"Erect","White","Partly corneous","Non-waxy",15,"Black","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thick","Colorless","Yes","Semi-loose",18,"Erect","Elliptical","Red","Purple",145," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"28",8357,"USA016","PI 586528","Sorghum",56,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",5,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","75% kernel covered","Plump","Oval","Thick","Colorless","No","Semi-loose",22,"Erect","Elliptical","Red","Purple",163," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"29",24169,"USA016","PI 585315","Sorghum",42,"Resistant","Long",1,"Erect","White","Partly corneous","Non-waxy",22,"Purple","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Oval","Thick","Colorless","Yes","Semi-loose",27,"Erect","Elliptical","Red","Red",178," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"30",24170,"USA016","PI 585332","Sorghum",53,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",8,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","50% kernel covered","Plump","Round","Thick","Colorless","No","Semi-compact",33,"Erect","Elliptical","White","Purple",92," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"31",24172,"USA016","PI 585363","Sorghum",49,"Resistant","None",0,"Erect","Yellow","Partly corneous","Non-waxy",19,"Tan","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Yellow","50% kernel covered","Plump","Round","Thin","Colorless","No","Semi-compact",28,"Erect","Elliptical","Lemon yellow","Purple-red",63," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"32",24174,"USA016","PI 585424","Sorghum",63,"Resistant","None",0,"Erect","Mixed","Partly corneous","Non-waxy",7,"Purple","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Yellow","75% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-compact",36,"Erect","Elliptical","Lemon yellow","Purple-red",245," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"33",24175,"USA016","PI 585535","Sorghum",74,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",0,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Round","Thick","Colorless","Yes","Semi-compact",45,"Erect","Oval","Red","Purple-red",295," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"34",24176,"USA016","PI 585551","Sorghum",73,"Resistant","Long",0,"Erect","White","Almost starchy","Non-waxy",8,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Oval","Thick","Colorless","Yes","Loose",38,"Erect","Elliptical","Red","Purple-red",294," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"35",24178,"USA016","PI 585607","Sorghum",67,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-loose",29,"Erect","Elliptical","Red","Purple-red",285," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"36",24179,"USA016","PI 585643","Sorghum",49,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",25,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",40,"Erect","Lax","White","Red-purple",195," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"37",24180,"USA016","PI 585659","Sorghum",53,"Resistant","None",1,"Erect","White","Partly corneous","Non-waxy",16,"Purple","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Round","Thick","Colorless","Yes","Semi-loose",30,"Erect","Elliptical","Red","Purple-red",204," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"38",24181,"USA016","PI 585663","Sorghum",49,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",28,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",28,"Erect","Lax","White","Red-purple",192," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"39",24182,"USA016","PI 585689","Sorghum",61,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",31,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",43,"Erect","Lax","White","Red-purple",266," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"40",24183,"USA016","PI 585760","Sorghum",61,"Resistant","Long",0,"Drooping","White","Completely corneous","Non-waxy",16,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",48,"Erect","Lax","White","Red-purple",270," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"41",24185,"USA016","PI 585783","Sorghum",56,"Resistant","Long",2,"Drooping","White","Completely corneous","Non-waxy",36,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",44,"Erect","Lax","Red","Red-purple",200," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"42",24186,"USA016","PI 585889","Sorghum",62,"Resistant","Short",1,"Drooping","White","Partly corneous","Non-waxy",29,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",25,"Erect","Lax","Red","Purple-red",166," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"43",24187,"USA016","PI 585902","Sorghum",56,"Resistant","Long",1,"Erect","White","Partly corneous","Non-waxy",23,"Red","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thin","Colorless","Yes","Semi-loose",44,"Erect","Elliptical","Red","Red",210," (2.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"44",24188,"USA016","PI 585909","Sorghum",56,"Resistant","None",0,"Erect","White","Almost starchy","Non-waxy",34,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","25% kernel covered","Plump","Round","Thin","Colorless","No","Semi-compact",36,"Erect","Oval","Red","Purple",240," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"45",24189,"USA016","PI 585939","Sorghum",87,"Resistant","Short",1,"Drooping","White","Almost corneous","Non-waxy",14,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",42,"Erect","Lax","Red","Red-purple",316," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"46",24190,"USA016","PI 585957","Sorghum",83,"Resistant","None",1,"Drooping","White","Completely corneous","Non-waxy",30,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Round","Thick","Colorless","Yes","Loose",40,"Erect","Lax","White","Purple-red",290," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"47",24191,"USA016","PI 585990","Sorghum",62,"Resistant","None",2,"Drooping","White","Completely corneous","Non-waxy",13,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","No","Loose",47,"Erect","Lax","White","Purple-red",250," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"48",24192,"USA016","PI 586027","Sorghum",77,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",5,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","25% kernel covered","Plump","Round","Thick","Colorless","No","Semi-compact",23,"Erect","Oval","Red","Purple",240,"Susceptible","Single"
"49",24193,"USA016","PI 586060","Sorghum",66,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",11,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Intermediate","Brown","75% kernel covered","Plump","Oval","Thick","Green","No","Semi-compact",28,"Erect","Oval","Red","Purple",201,"Susceptible","Single"
"50",24196,"USA016","PI 586131","Sorghum",47,"Resistant","Long",1,"Drooping","White","Partly corneous","Non-waxy",37,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",41,"Erect","Lax","White","Purple",210," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"51",24198,"USA016","PI 586236","Sorghum",49,"Resistant","Long",2,"Drooping","White","Partly corneous","Non-waxy",26,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",37,"Erect","Lax","White","Purple-red",194," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"52",24200,"USA016","PI 586262","Sorghum",56,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",29,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Round","Thick","Colorless","No","Loose",29,"Erect","Lax","White","Red-purple",196," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"53",24201,"USA016","PI 586289","Sorghum",56,"Resistant","None",0,"Drooping","White","Partly corneous","Non-waxy",21,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",41,"Erect","Lax","White","Red-purple",263," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"54",24202,"USA016","PI 586347","Sorghum",50,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",23,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Round","Thin","Colorless","Yes","Semi-loose",31,"Erect","Elliptical","Red","Purple-red",210,"Susceptible","Single"
"55",24203,"USA016","PI 586378","Sorghum",49,"Resistant","None",1,"Erect","White","Almost starchy","Non-waxy",14,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thick","Colorless","Yes","Compact",14,"Erect","Oval","Red","Purple-red",156," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"56",24204,"USA016","PI 586399","Sorghum",49,"Resistant","None",1,"Erect","White","Partly corneous","Non-waxy",9,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Round","Thick","Colorless","Yes","Semi-compact",26,"Erect","Oval","Red","Red",226," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"57",24205,"USA016","PI 586458","Sorghum",56,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",25,"Purple","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","75% kernel covered","Plump","Round","Thick","Colorless","No","Semi-loose",25,"Erect","Elliptical","Red","Purple",68," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"58",24206,"USA016","PI 586508","Sorghum",56,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",9,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Intermediate","Brown","75% kernel covered","Plump","Oval","Thick","Green","Yes","Semi-loose",26,"Erect","Elliptical","White","Purple-red",175," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"59",40251,"USA016","PI 585417","Sorghum",63,"Resistant","Long",1,"Drooping","White","Partly corneous","Non-waxy",9,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Round","Thin","Colorless","Yes","Loose",43,"Erect","Lax","White","Red-purple",280," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"60",40252,"USA016","PI 585453","Sorghum",56,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",16,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Round","Thin","Colorless","Yes","Semi-loose",23,"Erect","Elliptical","Red","Red-purple",254," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"61",40253,"USA016","PI 585455","Sorghum",72,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",30,"Erect","Lax","Red","Red",280," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"62",40254,"USA016","PI 585464","Sorghum",65,"Resistant","None",1,"Drooping","White","Almost corneous","Non-waxy",6,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",35,"Erect","Lax","Red","Red-purple",237," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"63",40255,"USA016","PI 585473","Sorghum",61,"Resistant","None",0,"Drooping","White","Partly corneous","Non-waxy",12,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",33,"Erect","Lax","Red","Red-purple",250," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"64",40256,"USA016","PI 585515","Sorghum",70,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",10,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Oval","Thin","Colorless","Yes","Loose",28,"Erect","Elliptical","Red","Purple-red",262," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"65",40259,"USA016","PI 585579","Sorghum",85,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-loose",26,"Erect","Oval","Red","Red-purple",284," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"66",40260,"USA016","PI 585605","Sorghum",72,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-loose",25,"Erect","Elliptical","Red","Red-purple",325," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"67",40261,"USA016","PI 585675","Sorghum",42,"Resistant","Long",2,"Drooping","White","Partly corneous","Non-waxy",22,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",38,"Erect","Lax","White","Purple-red",170," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"68",40262,"USA016","PI 585684","Sorghum",65,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",27,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",38,"Erect","Lax","White","Red-purple",175," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"69",40264,"USA016","PI 585697","Sorghum",63,"Resistant","Long",2,"Drooping","White","Partly corneous","Non-waxy",26,"Red","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",38,"Erect","Lax","White","Red-purple",204," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"70",40265,"USA016","PI 585738","Sorghum",51,"Resistant","Long",2,"Drooping","White","Almost corneous","Non-waxy",17,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",26,"Erect","Lax","Red","Red-purple",157," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"71",40266,"USA016","PI 585758","Sorghum",61,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",24,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",43,"Erect","Lax","White","Purple-red",186," (3.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
